Internal ID Variant (Do Not Edit),Category,SKU,Items Name (Do Not Edit),ecommerce item? (Yes/No),Pre-order ? (Yes/No),Processing days,Weight (gm),Length (cm),Width (cm),Height (cm),Condition,Brand Name,Variant name,Basic - Price,Image 1 (for Online Store),Image 2 (for Online Store),Image 3 (for Online Store),Image 4 (for Online Store),Image 5 (for Online Store),Image 6 (for Online Store),Image 7 (for Online Store),Image 8 (for Online Store),Image 9 (for Online Store),Image 10 (for Online Store),Image 11 (for Online Store),Image 12 (for Online Store),Coffeeshop - Price,Barbershop - Price,In Stock,Track Stock,Track Alert,Stock Alert,Track Cost,Cost Amount,Modifier Set - Cashier - 384185
154258985,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Beard & Mustache,35000,,,,,,,,,,,,,,,-29,Yes,No,0,Yes,10500,No
154258986,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Traditional Shaving,60000,,,,,,,,,,,,,,,-17,Yes,No,0,Yes,18000,No
154258987,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Hair Wash & Styling,20000,,,,,,,,,,,,,,,-8,Yes,No,0,Yes,6000,No
154258988,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Fee Colouring,60000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,18000,No
154259018,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Hair Colouring Long Hair,250000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,72000,No
154259019,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Hair Colouring,150000,,,,,,,,,,,,,,,-72,Yes,No,0,Yes,45000,No
154259020,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Hair Bleaching,350000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,105000,No
154259021,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Hair Highlighting,300000,,,,,,,,,,,,,,,-2,Yes,No,0,Yes,90000,No
154259022,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Hair Curly,300000,,,,,,,,,,,,,,,-26,Yes,No,0,Yes,90000,No
154259023,Premium Cutting,,Husen,No,No,0,,,,,,Unbranded,Smooth and Shape,450000,,,,,,,,,,,,,,,-5,Yes,No,0,Yes,135000,No
